baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene
3.363780409,1.08915521,0.384848291,2.830089765,0.004653495,0.021665195,ENSG00000278267
20.19758214,1.332909276,0.462520799,2.8818364,0.00395365,0.019114179,ENSG00000162576
35.49950683,1.483396569,0.425367349,3.487330593,0.000487868,0.003668802,ENSG00000116285
21.35649757,1.260686856,0.424080937,2.972750589,0.002951442,0.015292879,ENSG00000158748
15.47049852,1.203651757,0.361154084,3.332792871,0.000859789,0.005776509,ENSG00000261326
151.592161,1.024825269,0.307655154,3.33108435,0.000865084,0.005803895,ENSG00000117318
3.261973776,1.248267826,0.449880862,2.774663096,0.005525892,0.024814092,ENSG00000271398
5.439021476,1.240822989,0.463012019,2.679893693,0.007364554,0.030974231,ENSG00000221539
4.166229978,1.49020526,0.441028466,3.378932146,0.00072768,0.005064444,ENSG00000238063
1.570642127,1.809012872,0.570143599,3.172907446,0.001509206,0.008989456,ENSG00000230896
17.69935386,1.033739488,0.286518381,3.607934281,0.000308645,0.002546127,ENSG00000225632
50.28282578,1.00673295,0.247570352,4.066451991,4.77E-05,0.000550936,ENSG00000162396
23.50834405,1.442853466,0.432284423,3.337741056,0.000844624,0.005692976,ENSG00000158966
23.16256228,1.844255029,0.364095022,5.065312397,4.08E-07,9.71E-06,ENSG00000162594
48.70734275,1.206410574,0.394878977,3.055140041,0.002249555,0.012396157,ENSG00000116761
12.10980144,1.316284938,0.533280165,2.468280323,0.013576395,0.04900848,ENSG00000162692
248.5421968,1.055724027,0.215467943,4.899680259,9.60E-07,2.02E-05,ENSG00000181754
10.29197642,1.409804162,0.570755944,2.470064793,0.013508858,0.04883337,ENSG00000281741
1.218471487,1.849319284,0.741131461,2.495264849,0.012586315,0.046276114,ENSG00000227212
70.90131257,1.038340396,0.327535707,3.170159388,0.001523553,0.009052275,ENSG00000143365
8.407243079,1.170537531,0.327195311,3.577488705,0.000346911,0.002790689,ENSG00000229961
1.987519917,1.258910364,0.511438443,2.461509066,0.01383539,0.049733328,ENSG00000227776
46.51895622,1.105689971,0.373913035,2.957077893,0.003105697,0.015909716,ENSG00000143184
83.41166501,1.22261972,0.279254567,4.378154782,1.20E-05,0.000174199,ENSG00000117479
170.9910925,1.099892803,0.270194443,4.070745463,4.69E-05,0.000542453,ENSG00000117560
42.62861831,1.118097424,0.321418093,3.478638722,0.000503968,0.003767779,ENSG00000198756
1.613101895,1.63024495,0.646370707,2.522151657,0.011663941,0.043792641,ENSG00000233057
76.51299372,1.212975589,0.375609544,3.229352418,0.001240709,0.007708956,ENSG00000143847
14.5061835,2.486905068,0.463917201,5.360665787,8.29E-08,2.46E-06,ENSG00000163485
9572.234224,1.048498175,0.251666435,4.166221742,3.10E-05,0.000385597,ENSG00000159388
26.45724544,1.06024893,0.363837553,2.914072287,0.003567473,0.017669907,ENSG00000117595
998.9145709,1.522472325,0.483380326,3.149636517,0.001634737,0.009583827,ENSG00000162772
19.84734626,1.051606796,0.3477868,3.02371107,0.002496948,0.013443925,ENSG00000183780
30.7657347,1.455143273,0.51155977,2.844522493,0.004447805,0.020932617,ENSG00000177535
25.6875755,1.276798389,0.383482307,3.329484482,0.000870069,0.005825667,ENSG00000225234
1.119468475,2.15744148,0.690087307,3.126331203,0.001770021,0.010225152,ENSG00000187536
185.6537082,1.111266005,0.229609534,4.839807763,1.30E-06,2.60E-05,ENSG00000171174
2.362017608,2.060426839,0.765192162,2.692692033,0.007087771,0.030113993,ENSG00000270210
17.8992458,1.13819658,0.306045534,3.719043254,0.000199979,0.001784822,ENSG00000163806
8.822150901,1.052981385,0.40743406,2.5844216,0.009754248,0.038358962,ENSG00000116031
6.381959593,1.210017272,0.263328592,4.595085028,4.33E-06,7.29E-05,ENSG00000188687
289.9755817,1.069741123,0.178600836,5.989563922,2.10E-09,9.60E-08,ENSG00000168758
573.7492387,1.118629508,0.242523511,4.612457997,3.98E-06,6.81E-05,ENSG00000115607
8.934798718,1.076111139,0.406777176,2.645456044,0.008158089,0.033478154,ENSG00000234389
138.3294122,1.224794649,0.274089534,4.46859327,7.87E-06,0.00012268,ENSG00000135960
29.72331793,2.867774159,0.926874266,3.094027167,0.001974594,0.011138701,ENSG00000115008
3127.774985,1.727226098,0.43112341,4.006337995,6.17E-05,0.000677732,ENSG00000125538
9360.320487,1.161476431,0.290142174,4.003128591,6.25E-05,0.000685639,ENSG00000121966
1.90635815,1.669234423,0.6287718,2.654753955,0.007936627,0.032768562,ENSG00000279024
348.5038209,2.059476872,0.644432148,3.195800952,0.001394433,0.008449203,ENSG00000123610
1.802549522,2.124432082,0.848511159,2.503717317,0.012289618,0.045562044,ENSG00000242113
8591.672854,1.491627556,0.4810556,3.100738369,0.001930388,0.01096726,ENSG00000153234
61.09591378,2.580543927,0.398609941,6.473857423,9.55E-11,6.14E-09,ENSG00000144290
2.034865415,1.335159069,0.502838562,2.655243987,0.007925106,0.032729099,ENSG00000273258
1994.572671,1.059742126,0.223860021,4.733949901,2.20E-06,4.09E-05,ENSG00000116044
13.28369218,1.226647217,0.298311579,4.111966492,3.92E-05,0.000466344,ENSG00000226726
87.42004544,2.464567341,0.732365037,3.365217095,0.000764835,0.005266965,ENSG00000115009
32.41076932,1.090598778,0.262775065,4.150313039,3.32E-05,0.000408671,ENSG00000186235
49.86269453,2.010220826,0.401474703,5.007092131,5.53E-07,1.25E-05,ENSG00000226321
84.61377955,1.803891127,0.465975268,3.871216462,0.000108294,0.001082809,ENSG00000233392
310.6372887,1.653045275,0.378650733,4.365620163,1.27E-05,0.000183185,ENSG00000121797
1.027178395,1.818444026,0.714109362,2.546450338,0.010882469,0.041612966,ENSG00000239576
1.596359556,2.209617172,0.754847774,2.927235463,0.003419899,0.017126325,ENSG00000222345
109.7252573,1.941954137,0.267826199,7.250799752,4.14E-13,4.17E-11,ENSG00000157445
